Name,Season,Team,G,CG,ShO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
시스코,2015,k,17,0,0,5,0,6,0,2,39.0,34,27,185,43,4.0,2.0,5,25,1,4,42,0,11,6.23,5.28,1.74,80.7,93.3,-0.28,-1.87
찰리,2015,N,12,0,0,12,4,5,0,0,53.1,39,34,245,67,14.0,1.0,8,19,0,7,29,0,1,5.74,5.94,1.61,83.5,82.2,-0.31,-1.42
마야,2015,두,13,1,1,13,2,5,0,0,68.1,62,62,317,83,13.0,3.0,6,31,2,5,62,3,1,8.17,4.44,1.67,57.4,105.9,-0.91,-1.25
어윈,2015,k,12,0,0,12,1,7,0,0,56.0,57,54,271,90,20.0,1.0,10,21,0,2,41,0,2,8.68,5.71,1.98,57.9,85.3,-1.05,-2.34
헥터,2016,K,31,3,1,31,15,5,0,0,206.2,88,78,868,211,34.0,3.0,7,51,0,6,139,0,7,3.4,3.72,1.27,152.5,140.6,6.64,1.87
니퍼트,2016,두,28,1,1,27,22,3,0,0,167.2,61,55,701,151,19.0,3.0,15,57,0,9,142,0,8,2.95,4.44,1.24,173.1,113.2,5.97,2.69
켈리,2016,S,31,0,0,31,9,8,0,0,200.1,91,82,846,205,35.0,3.0,15,60,0,7,152,2,8,3.68,4.25,1.32,141.7,122.9,5.95,1.32
해커,2016,N,23,0,0,23,13,3,0,0,140.2,57,54,587,132,18.0,1.0,14,31,0,10,119,0,5,3.45,4.27,1.16,147.3,120.5,4.88,0.54
보우덴,2016,두,30,1,1,30,18,7,0,0,180.0,83,76,742,159,24.0,2.0,17,54,0,6,160,2,8,3.8,4.24,1.18,134.5,118.3,4.78,1.03
피어밴드,2016,넥,31,0,0,30,7,13,0,0,182.0,97,90,803,231,39.0,1.0,23,48,0,10,144,3,6,4.45,4.81,1.53,117.8,108.1,4.16,-1.34
레일리,2016,롯,31,1,1,31,8,10,0,0,184.2,105,89,808,207,36.0,4.0,21,51,1,17,147,2,5,4.34,4.77,1.4,120.5,109.6,3.52,-1.55
스튜어트,2016,N,27,0,0,27,12,8,0,0,150.0,79,76,653,160,20.0,0.0,11,55,1,8,118,0,4,4.56,4.41,1.43,111.6,116.9,3.29,-0.03
린드블럼,2016,롯,30,1,0,30,10,13,0,0,177.1,109,104,791,197,36.0,6.0,28,77,0,9,148,0,7,5.28,5.63,1.55,99.0,92.9,2.69,-1.77
밴헤켄,2016,넥,12,0,0,12,7,3,0,0,72.0,29,27,287,55,14.0,0.0,10,19,0,5,81,0,1,3.38,4.35,1.03,155.6,119.4,2.67,0.44
소사,2016,L,33,0,0,33,10,9,0,0,199.0,121,114,870,258,47.0,8.0,12,38,2,9,107,0,6,5.16,4.18,1.49,98.6,121.0,2.63,-2.01
허프,2016,L,13,0,0,11,7,2,0,1,74.2,34,26,299,72,11.0,2.0,2,9,0,1,46,0,0,3.13,3.31,1.09,162.3,154.9,2.07,0.49
코엘로,2016,넥,12,0,0,12,6,5,0,0,62.0,29,26,271,50,7.0,0.0,6,42,0,2,46,0,0,3.77,5.7,1.48,139.1,91.0,1.75,0.1
지크,2016,K,30,0,0,29,10,13,0,0,152.0,104,89,705,188,30.0,1.0,16,68,0,5,125,1,5,5.27,4.96,1.68,98.3,105.4,1.54,-2.53
맥그레거,2016,넥,14,0,0,14,6,3,0,0,90.0,56,52,385,108,17.0,0.0,13,20,0,2,61,1,3,5.2,5.05,1.42,101.0,102.5,1.36,-0.89
마리몬,2016,k,12,0,0,12,6,4,0,0,62.0,38,36,275,60,13.0,2.0,3,29,0,6,45,0,8,5.23,4.66,1.44,100.0,112.0,1.06,-0.47
웹스터,2016,삼,12,0,0,12,4,4,0,0,71.0,48,45,325,72,16.0,2.0,10,47,0,3,59,1,4,5.7,6.07,1.68,92.4,85.9,0.8,-0.87
밴와트,2016,k,28,0,0,27,6,13,0,0,134.2,103,89,614,172,27.0,4.0,21,49,0,4,92,0,6,5.95,5.63,1.64,87.9,92.6,0.77,-2.79
로저스,2016,한,6,1,0,6,2,3,0,0,37.2,22,18,160,42,8.0,0.0,3,12,0,2,24,3,0,4.3,4.67,1.43,122.1,112.1,0.73,-0.46
카스티요,2016,한,20,0,0,15,7,4,0,0,84.0,62,60,393,106,14.0,0.0,7,40,0,10,60,0,4,6.43,5.23,1.74,81.7,100.0,0.71,-2.07
로위,2016,k,14,0,0,13,3,6,0,0,60.0,46,42,295,74,11.0,0.0,6,39,0,5,68,1,8,6.3,5.03,1.88,82.9,104.3,0.3,-1.53
서캠프,2016,한,17,0,0,8,2,5,1,0,41.1,32,29,194,54,9.0,0.0,5,17,0,5,36,0,2,6.31,5.22,1.72,83.2,100.5,-0.06,-1.38
세든,2016,S,12,0,0,12,5,5,0,0,62.0,52,37,283,76,10.0,0.0,8,17,0,1,43,0,8,5.37,4.95,1.5,97.2,106.0,-0.24,-1.64
레온,2016,삼,2,0,0,2,0,1,0,0,8.0,10,10,40,16,5.0,0.0,2,1,0,1,7,0,0,11.25,6.04,2.13,46.9,86.6,-0.28,-0.51
벨레스터,2016,삼,3,0,0,3,0,3,0,0,12.1,14,11,66,20,4.0,0.0,1,12,0,0,5,0,2,8.03,6.95,2.6,65.7,74.8,-0.3,-0.71
코프랜드,2016,L,13,0,0,13,2,3,0,0,63.1,53,39,314,71,6.0,1.0,8,42,0,7,34,0,13,5.54,6.68,1.78,91.8,74.8,-0.38,-2.02
피노,2016,k,12,0,0,8,2,3,0,1,39.0,36,31,191,62,11.0,1.0,4,15,0,4,23,0,3,7.15,5.41,1.97,73.0,96.3,-0.38,-1.34
라라,2016,S,17,0,0,9,2,6,0,1,48.1,46,36,232,66,7.0,0.0,5,30,0,1,40,1,3,6.7,5.41,1.99,77.9,96.9,-0.67,-1.26
플란데,2016,삼,13,0,0,13,2,6,0,0,68.2,66,58,330,92,14.0,0.0,13,33,0,1,56,4,1,7.6,6.11,1.82,69.4,85.6,-0.87,-2.45
마에스트리,2016,한,9,0,0,8,2,2,0,0,28.2,37,30,157,37,1.0,2.0,4,34,0,1,23,0,6,9.42,7.66,2.48,55.8,68.4,-1.0,-1.89
헥터,2017,K,30,1,0,30,20,5,0,0,201.2,83,78,854,221,36.0,4.0,21,45,1,5,149,0,7,3.48,4.34,1.32,142.7,115.0,5.86,1.34
피어밴드,2017,k,26,1,1,26,8,10,0,0,160.0,67,54,657,153,19.0,4.0,20,31,0,7,132,0,4,3.04,4.42,1.15,167.0,112.8,5.34,1.0
켈리,2017,S,30,0,0,30,16,7,0,0,190.0,85,76,815,204,38.0,3.0,16,45,2,11,189,1,9,3.6,3.69,1.31,139.8,136.9,5.11,1.6
레일리,2017,롯,30,1,0,30,13,7,0,0,187.1,87,79,798,199,39.0,2.0,19,44,0,17,156,1,3,3.8,4.37,1.3,132.7,115.1,5.07,1.25
허프,2017,L,19,2,0,17,6,4,0,0,124.2,37,33,490,100,20.0,2.0,7,14,0,2,98,0,2,2.38,3.28,0.91,203.1,148.5,4.95,2.93
해커,2017,N,26,1,0,26,12,7,0,0,160.1,64,61,672,159,19.0,2.0,14,29,1,14,97,2,6,3.42,4.45,1.17,145.0,112.4,4.52,1.4
소사,2017,L,30,2,1,29,11,11,1,0,185.1,86,80,769,189,36.0,9.0,11,38,0,3,153,0,3,3.88,3.52,1.23,124.6,138.3,4.22,0.5
팻딘,2017,K,30,1,0,29,9,7,0,0,176.0,86,81,770,211,39.0,3.0,22,39,1,16,143,0,3,4.14,4.66,1.42,120.0,107.2,3.51,0.5
니퍼트,2017,두,30,0,0,30,14,8,0,0,179.2,88,81,782,175,35.0,5.0,20,77,0,10,161,0,13,4.06,4.84,1.4,118.6,99.3,3.45,0.34
